iter	RMSE
0	5500.074144
1	5172.288088
2	4874.087272
3	4604.562433
4	4366.819842
5	4147.118486
6	3946.671984
7	3761.438027
8	3598.938212
9	3453.15747
10	3320.139125
11	3202.86781
12	3093.015736
13	2996.13609
14	2908.343815
15	2831.509214
16	2762.078741
17	2699.321023
18	2643.194153
19	2587.969678
20	2542.941707
21	2501.093698
22	2461.256892
23	2428.40569
24	2396.176512
25	2364.930983
26	2341.904439
27	2317.271395
28	2295.779319
29	2276.212102
30	2254.717321
31	2240.077445
32	2226.07052
33	2212.779404
34	2198.632796
35	2183.592019
36	2167.356412
37	2151.44156
38	2141.016683
39	2133.156094
40	2121.695925
41	2113.602503
42	2105.4049
43	2097.366803
44	2088.884152
45	2082.649738
46	2077.048534
47	2069.194439
48	2061.900054
49	2055.223244
50	2047.654118
51	2041.726145
52	2038.256138
53	2032.282214
54	2028.040379
55	2024.344176
56	2019.511018
57	2013.646952
58	2008.429815
59	2005.183862
60	2001.754507
61	1997.43509
62	1993.550296
63	1989.394869
64	1986.143273
65	1982.642708
66	1977.987687
67	1974.11779
68	1969.496905
69	1966.442354
70	1963.908998
71	1960.29372
72	1958.0367
73	1954.341604
74	1949.937755
75	1946.750533
76	1943.477003
77	1938.073731
78	1935.252997
79	1933.408331
80	1930.487119
81	1927.927604
82	1925.539544
83	1921.677663
84	1919.038739
85	1917.287853
86	1915.069095
87	1913.319536
88	1909.755555
89	1907.400982
90	1904.883032
91	1902.158081
92	1898.994048
93	1897.556049
94	1895.80866
95	1893.79081
96	1891.360711
97	1888.881434
98	1886.657053
99	1884.13718
100	1882.172401
101	1879.544165
102	1877.529848
103	1875.644293
104	1872.716466
105	1871.327277
106	1869.472094
107	1868.246323
108	1866.256816
109	1864.680152
110	1862.521626
111	1860.569125
112	1859.539039
113	1858.177622
114	1856.454459
115	1855.151098
116	1852.900131
117	1850.786909
118	1848.85957
119	1846.84399
120	1845.432166
121	1843.56996
122	1840.694817
123	1838.88987
124	1837.345546
125	1835.423478
126	1834.237772
127	1832.979857
128	1831.062462
129	1828.737153
130	1826.850784
131	1825.575917
132	1823.917217
133	1822.72476
134	1821.823798
135	1820.303162
136	1818.611941
137	1817.022535
138	1815.365536
139	1813.827964
140	1812.14238
141	1810.887764
142	1809.302017
143	1807.302887
144	1805.963174
145	1804.255869
146	1803.097368
147	1802.090464
148	1800.8534
149	1799.207918
150	1797.539138
151	1796.288831
152	1794.795172
153	1793.196623
154	1792.084068
155	1790.588251
156	1789.220474
157	1788.183813
158	1786.688744
159	1785.477504
160	1784.576684
161	1783.444049
162	1782.07425
163	1780.747282
164	1779.278008
165	1778.05715
166	1776.191262
167	1775.394566
168	1774.03337
169	1772.602441
170	1771.7599
171	1770.721313
172	1769.534608
173	1768.599031
174	1767.843464
175	1766.060911
176	1765.04954
177	1763.652585
178	1762.37534
179	1760.838774
180	1760.068355
181	1758.774029
182	1757.490117
183	1756.566128
184	1755.566671
185	1754.592822
186	1753.772179
187	1753.222531
188	1752.56059
189	1751.711137
190	1750.742154
191	1749.799608
192	1748.787477
193	1747.917289
194	1747.177673
195	1745.44915
196	1744.143584
197	1743.127062
198	1742.425407
199	1741.278296
200	1740.565436
201	1739.63612
202	1738.646586
203	1737.963751
204	1736.731019
205	1735.623972
206	1734.720334
207	1733.696647
208	1731.538073
209	1730.981879
210	1730.218657
211	1729.376476
212	1728.690851
213	1728.232794
214	1726.959392
215	1726.192148
216	1725.464903
217	1724.388924
218	1723.299708
219	1722.032729
220	1721.451133
221	1720.57165
222	1719.699872
223	1719.060411
224	1718.281956
225	1717.352013
226	1716.935952
227	1716.080839
228	1715.461979
229	1714.518176
230	1713.912611
231	1713.204224
232	1712.506885
233	1711.7762
234	1711.000465
235	1710.458345
236	1709.466529
237	1708.808542
238	1708.17447
239	1707.345033
240	1706.552099
241	1705.695833
242	1705.106317
243	1704.401378
244	1703.454756
245	1702.537639
246	1702.182799
247	1701.497646
248	1700.764128
249	1700.286344
250	1699.732086
251	1699.083317
252	1697.855082
253	1696.643571
