iter	Passed	Remaining
0	4	4263
1	9	4920
2	12	4193
3	15	3812
4	18	3639
5	21	3526
6	24	3415
7	27	3361
8	30	3303
9	32	3241
10	35	3204
11	38	3198
12	41	3156
13	44	3119
14	46	3075
15	49	3048
16	52	3017
17	54	2995
18	57	2976
19	60	2967
20	63	2950
21	66	2934
22	68	2916
23	71	2906
24	74	2886
25	76	2877
26	79	2866
27	82	2857
28	85	2856
29	88	2848
30	91	2847
31	93	2840
32	96	2827
33	99	2820
34	101	2805
35	104	2799
36	107	2791
37	109	2783
38	112	2775
39	115	2766
40	118	2762
41	120	2752
42	123	2748
43	126	2741
44	129	2740
45	131	2732
46	134	2723
47	137	2717
48	139	2712
49	142	2707
50	145	2703
51	148	2700
52	150	2685
53	153	2687
54	156	2681
55	158	2678
56	161	2672
57	164	2666
58	166	2661
59	169	2654
60	171	2644
61	174	2640
62	177	2633
63	179	2631
64	182	2625
65	185	2622
66	188	2619
67	190	2616
68	193	2614
69	196	2610
70	199	2604
71	201	2597
72	204	2591
73	206	2589
74	209	2586
75	212	2580
76	214	2576
77	217	2574
78	220	2567
79	222	2561
80	225	2558
81	228	2556
82	231	2553
83	235	2564
84	238	2571
85	241	2565
86	244	2567
87	247	2563
88	250	2559
89	252	2555
90	255	2553
91	258	2550
92	261	2546
93	263	2542
94	266	2538
95	269	2535
96	272	2535
97	275	2534
98	278	2536
99	281	2535
100	284	2534
101	287	2533
102	290	2531
103	293	2529
104	296	2527
105	299	2523
106	302	2525
107	305	2521
108	307	2515
109	310	2511
110	313	2508
111	316	2506
112	318	2500
113	321	2498
114	324	2496
115	327	2495
116	330	2490
117	333	2490
118	336	2487
119	339	2486
120	341	2482
121	344	2481
122	347	2478
123	350	2474
124	352	2470
125	355	2466
126	358	2462
127	360	2458
128	363	2456
129	366	2454
130	369	2451
131	372	2448
132	375	2445
133	377	2442
134	380	2438
135	383	2434
136	386	2431
137	388	2428
138	391	2424
139	393	2420
140	396	2415
141	398	2410
142	401	2406
143	404	2402
144	406	2398
145	409	2394
146	411	2390
147	414	2385
148	416	2381
149	419	2377
150	422	2375
151	425	2371
152	427	2368
153	430	2363
154	432	2360
155	435	2356
156	438	2352
157	440	2349
158	443	2345
159	446	2341
160	448	2337
161	451	2334
162	453	2330
163	456	2327
164	459	2323
165	461	2319
166	464	2317
167	466	2312
168	469	2309
169	472	2306
170	474	2302
171	477	2299
172	480	2295
173	482	2291
174	485	2288
175	487	2284
176	490	2280
177	493	2277
178	495	2274
179	498	2270
180	501	2267
181	503	2264
182	506	2261
183	508	2257
184	511	2253
185	513	2248
186	516	2244
187	518	2239
188	520	2235
189	523	2231
190	526	2229
191	528	2225
192	531	2221
193	533	2218
194	536	2214
195	539	2211
196	541	2207
197	544	2203
198	546	2199
199	549	2196
200	551	2192
201	554	2189
202	556	2186
203	559	2182
204	562	2179
205	564	2175
206	566	2171
207	569	2168
208	572	2165
209	574	2161
210	576	2156
211	579	2152
212	581	2147
213	583	2143
214	586	2141
215	588	2137
216	591	2133
217	593	2129
218	596	2126
219	599	2124
220	601	2119
221	603	2115
222	606	2112
223	608	2108
224	610	2104
225	613	2099
226	615	2095
227	617	2091
228	619	2086
229	622	2084
230	625	2080
231	627	2076
232	629	2072
233	631	2068
234	634	2065
235	636	2061
236	639	2057
237	641	2054
238	644	2051
